col_a,col_b,pvalue
1,06-00_4,10
1,06-00_5,10
1,06-01_0,8
1,06-01_1,13
1,06-01_2,9
1,06-01_3,13
1,06-01_4,13
1,06-01_5,13
1,07-00_0,12
1,07-00_1,14
1,07-00_2,14
1,07-00_3,14
1,07-00_4,14
1,07-00_5,14
1,07-01_0,11
1,07-01_1,12
1,07-01_2,13
1,07-01_3,11
1,07-01_4,11
1,07-01_5,12
1,age,2
1,asrsa_score,1
1,asrsb_score,1
1,bai_score,1
1,dbi_score,3
1,oci_score,1
1,srq_score,3
2,00-01_2,1
2,00-01_3,1
2,00-01_4,1
2,00-01_5,1
2,01-00_2,1
2,01-00_3,1
2,01-00_4,1
2,01-00_5,1
2,01-01_0,2
2,01-01_1,2
2,01-01_2,3
2,01-01_3,3
2,01-01_4,3
2,01-01_5,3
2,02-00_0,2
2,02-00_1,2
2,02-00_2,4
2,02-00_3,3
2,02-00_4,3
2,02-00_5,3
2,02-01_0,4
2,02-01_1,4
2,02-01_2,5
2,02-01_3,5
2,02-01_4,5
2,02-01_5,5
2,03-00_0,4
2,03-00_1,3
2,03-00_2,5
2,03-00_3,4
2,03-00_4,5
2,03-00_5,2
2,03-01_0,5
2,03-01_1,6
2,03-01_2,7
2,03-01_3,6
2,03-01_4,7
2,03-01_5,4
2,04-00_0,6
2,04-00_1,5
2,04-00_2,8
2,04-00_3,6
2,04-00_4,6
2,04-00_5,7
2,04-01_0,8
2,04-01_1,8
2,04-01_2,9
2,04-01_3,9
2,04-01_4,9
2,04-01_5,9
2,05-00_0,6
2,05-00_1,6
2,05-00_2,9
2,05-00_3,6
2,05-00_4,7
2,05-00_5,9
2,05-01_0,8
2,05-01_1,8
2,05-01_2,11
2,05-01_3,9
2,05-01_4,9
2,05-01_5,11
2,06-00_0,10
2,06-00_1,9
2,06-00_2,12
2,06-00_3,9
2,06-00_4,9
2,06-00_5,11
2,06-01_0,12
2,06-01_1,12
2,06-01_2,13
2,06-01_3,13
2,06-01_4,13
2,06-01_5,12
2,07-00_0,11
2,07-00_1,11
2,07-00_2,14
2,07-00_3,12
2,07-00_4,11
2,07-00_5,13
2,07-01_0,12
2,07-01_1,12
2,07-01_2,13
2,07-01_3,12
2,07-01_4,11
2,07-01_5,13
2,age,1
2,asrsb_score,3
2,bai_score,1
2,dbi_score,3
2,oci_score,2
2,srq_score,2
3,00-01_3,1
3,00-01_4,1
3,00-01_5,1
3,01-00_1,1
3,01-00_3,2
3,01-00_4,2
3,01-00_5,2
3,01-01_0,2
3,01-01_1,2
3,01-01_2,2
3,01-01_3,3
3,01-01_4,3
3,01-01_5,3
3,02-00_0,2
3,02-00_1,3
3,02-00_2,3
3,02-00_3,4
3,02-00_4,4
3,02-00_5,4
3,02-01_0,3
3,02-01_1,4
3,02-01_2,4
3,02-01_3,5
3,02-01_4,5
3,02-01_5,5
3,03-00_0,5
3,03-00_1,5
3,03-00_2,4
3,03-00_3,6
3,03-00_4,6
3,03-00_5,6
3,03-01_0,4
3,03-01_1,6
3,03-01_2,6
3,03-01_3,7
3,03-01_4,7
3,03-01_5,7
3,04-00_0,6
3,04-00_1,7
3,04-00_2,7
3,04-00_3,8
3,04-00_4,8
3,04-00_5,8
3,04-01_0,4
3,04-01_1,8
3,04-01_2,8
3,04-01_3,9
3,04-01_4,9
3,04-01_5,9
3,05-00_0,5
3,05-00_1,5
3,05-00_2,3
3,05-00_3,6
3,05-00_4,6
3,05-00_5,8
3,05-01_0,5
3,05-01_1,7
3,05-01_2,7
3,05-01_3,8
3,05-01_4,9
3,05-01_5,9
3,06-00_0,9
3,06-00_1,9
3,06-00_2,8
3,06-00_3,10
3,06-00_4,10
3,06-00_5,11
3,06-01_0,11
3,06-01_1,12
3,06-01_2,9
3,06-01_3,13
3,06-01_4,13
3,06-01_5,13
3,07-00_0,12
3,07-00_1,13
3,07-00_2,13
3,07-00_3,14
3,07-00_4,14
3,07-00_5,14
3,07-01_0,10
3,07-01_1,12
3,07-01_2,12
3,07-01_3,11
3,07-01_4,11
3,07-01_5,14
3,age,3
3,asrsb_score,2
3,bai_score,2
3,dbi_score,3
3,oci_score,1
3,srq_score,1
4,00-01_4,1
4,00-01_5,1
4,01-00_1,1
4,01-00_3,1
4,01-00_4,2
4,01-00_5,2
4,01-01_0,2
4,01-01_1,2
4,01-01_2,2
4,01-01_3,2
4,01-01_4,3
4,01-01_5,3
4,02-00_0,2
4,02-00_1,3
4,02-00_2,1
4,02-00_3,3
4,02-00_4,4
4,02-00_5,4
4,02-01_0,3
4,02-01_1,4
4,02-01_2,4
4,02-01_3,4
4,02-01_4,5
4,02-01_5,5
4,03-00_0,5
4,03-00_1,5
4,03-00_2,4
4,03-00_3,5
4,03-00_4,6
4,03-00_5,6
4,03-01_0,4
4,03-01_1,6
4,03-01_2,6
4,03-01_3,6
4,03-01_4,7
4,03-01_5,7
4,04-00_0,6
4,04-00_1,7
4,04-00_2,7
4,04-00_3,7
4,04-00_4,8
4,04-00_5,8
4,04-01_0,2
4,04-01_1,8
4,04-01_2,8
4,04-01_3,8
4,04-01_4,9
4,04-01_5,9
4,05-00_0,5
4,05-00_1,5
4,05-00_2,3
4,05-00_3,5
4,05-00_4,6
4,05-00_5,6
4,05-01_0,5
4,05-01_1,7
4,05-01_2,7
4,05-01_3,7
4,05-01_4,9
4,05-01_5,7
4,06-00_0,6
4,06-00_1,9
4,06-00_2,7
4,06-00_3,8
4,06-00_4,10
4,06-00_5,9
4,06-01_0,9
4,06-01_1,12
4,06-01_2,8
4,06-01_3,12
4,06-01_4,13
4,06-01_5,13
4,07-00_0,12
4,07-00_1,13
4,07-00_2,13
4,07-00_3,13
4,07-00_4,13
4,07-00_5,14
4,07-01_0,7
4,07-01_1,11
4,07-01_2,10
4,07-01_3,10
4,07-01_4,11
4,07-01_5,12
4,age,3
4,asrsa_score,2
4,asrsb_score,1
4,dbi_score,2
4,oci_score,1
4,srq_score,1
5,00-01_5,1
5,01-00_1,1
5,01-00_3,1
5,01-00_4,1
5,01-00_5,2
5,01-01_0,2
5,01-01_1,2
5,01-01_2,2
5,01-01_3,2
5,01-01_4,2
5,01-01_5,3
5,02-00_0,2
5,02-00_1,3
5,02-00_3,3
5,02-00_4,3
5,02-00_5,4
5,02-01_0,3
5,02-01_1,4
5,02-01_2,4
5,02-01_3,4
5,02-01_4,4
5,02-01_5,5
5,03-00_0,4
5,03-00_1,5
5,03-00_2,3
5,03-00_3,5
5,03-00_4,5
5,03-00_5,6
5,03-01_0,4
5,03-01_1,6
5,03-01_2,5
5,03-01_3,6
5,03-01_4,6
5,03-01_5,7
5,04-00_0,5
5,04-00_1,7
5,04-00_2,6
5,04-00_3,7
5,04-00_4,7
5,04-00_5,8
5,04-01_0,6
5,04-01_1,8
5,04-01_2,7
5,04-01_3,8
5,04-01_4,8
5,04-01_5,9
5,05-00_0,4
5,05-00_1,6
5,05-00_2,6
5,05-00_3,6
5,05-00_4,5
5,05-00_5,9
5,05-01_0,7
5,05-01_1,8
5,05-01_2,7
5,05-01_3,8
5,05-01_4,8
5,05-01_5,9
5,06-00_0,10
5,06-00_1,9
5,06-00_2,5
5,06-00_3,9
5,06-00_4,9
5,06-00_5,12
5,06-01_0,9
5,06-01_1,12
5,06-01_2,9
5,06-01_3,12
5,06-01_4,12
5,06-01_5,13
5,07-00_0,12
5,07-00_1,13
5,07-00_2,13
5,07-00_3,13
5,07-00_4,13
5,07-00_5,14
5,07-01_0,12
5,07-01_1,12
5,07-01_2,13
5,07-01_3,11
5,07-01_4,10
5,07-01_5,14
5,age,4
5,asrsa_score,1
5,asrsb_score,2
5,bai_score,3
5,dbi_score,3
5,oci_score,2
5,srq_score,2
age,age,1
asrsa_score,age,1
asrsa_score,asrsa_score,1
asrsa_score,asrsb_score,1
asrsa_score,oci_score,1
asrsa_score,srq_score,1
asrsb_score,asrsb_score,1
asrsb_score,oci_score,1
asrsb_score,srq_score,1
bai_score,age,1
bai_score,asrsa_score,1
bai_score,asrsb_score,1
bai_score,bai_score,1
bai_score,oci_score,1
bai_score,srq_score,1
dbi_score,age,1
dbi_score,asrsa_score,1
dbi_score,asrsb_score,1
dbi_score,bai_score,1
dbi_score,dbi_score,1
dbi_score,oci_score,1
dbi_score,srq_score,1
oci_score,age,1
oci_score,oci_score,1
oci_score,srq_score,1
srq_score,age,1
srq_score,srq_score,1
